INFO 2021-01-02 22:07:48,872 autoreload 597 Watching for file changes with StatReloader
INFO 2021-01-02 22:08:12,371 basehttp 154 "GET /usernames/a111111/count/ HTTP/1.1" 200 39
WARNING 2021-01-02 22:08:12,519 log 228 Not Found: /favicon.ico
WARNING 2021-01-02 22:08:12,520 basehttp 154 "GET /favicon.ico HTTP/1.1" 404 2166
INFO 2021-01-02 22:16:45,865 autoreload 217 /home/ubuntu/Desktop/test/day08/MeiDuo_second/meiduo_mail/apps/users/views.py changed, reloading.
INFO 2021-01-02 22:16:46,679 autoreload 597 Watching for file changes with StatReloader
INFO 2021-01-02 22:29:05,873 autoreload 217 /home/ubuntu/Desktop/test/day08/MeiDuo_second/meiduo_mail/apps/users/views.py changed, reloading.
INFO 2021-01-02 22:29:06,464 autoreload 597 Watching for file changes with StatReloader
INFO 2021-01-02 22:29:21,227 autoreload 217 /home/ubuntu/Desktop/test/day08/MeiDuo_second/meiduo_mail/apps/users/views.py changed, reloading.
INFO 2021-01-02 22:29:21,794 autoreload 597 Watching for file changes with StatReloader
WARNING 2021-01-02 22:29:36,746 log 228 Not Found: /carts/simple/
WARNING 2021-01-02 22:29:36,747 basehttp 154 "GET /carts/simple/ HTTP/1.1" 404 2172
WARNING 2021-01-02 22:29:38,412 log 228 Not Found: /image_codes/6e6a7626-03cc-4b41-82d5-a5d41fa32c93/
WARNING 2021-01-02 22:29:38,414 basehttp 154 "GET /image_codes/6e6a7626-03cc-4b41-82d5-a5d41fa32c93/ HTTP/1.1" 404 2280
INFO 2021-01-02 22:29:39,470 basehttp 154 "GET /usernames/itcast_01/count/ HTTP/1.1" 200 39
INFO 2021-01-02 22:29:42,975 basehttp 154 "GET /usernames/itcast_02/count/ HTTP/1.1" 200 39
WARNING 2021-01-02 22:29:50,243 log 228 Not Found: /mobiles/15700000000/count/
WARNING 2021-01-02 22:29:50,245 basehttp 154 "GET /mobiles/15700000000/count/ HTTP/1.1" 404 2211
WARNING 2021-01-02 22:29:53,609 log 228 Not Found: /mobiles/15700000001/count/
WARNING 2021-01-02 22:29:53,616 basehttp 154 "GET /mobiles/15700000001/count/ HTTP/1.1" 404 2211
WARNING 2021-01-02 22:30:00,539 log 228 Not Found: /register/
WARNING 2021-01-02 22:30:00,541 basehttp 154 "OPTIONS /register/ HTTP/1.1" 404 2164
INFO 2021-01-02 22:30:00,551 basehttp 154 "GET /usernames/itcast_02/count/ HTTP/1.1" 200 39
WARNING 2021-01-02 22:30:00,555 log 228 Not Found: /mobiles/15700000001/count/
WARNING 2021-01-02 22:30:00,559 basehttp 154 "GET /mobiles/15700000001/count/ HTTP/1.1" 404 2211
WARNING 2021-01-02 22:30:02,164 log 228 Not Found: /register/
WARNING 2021-01-02 22:30:02,167 basehttp 154 "OPTIONS /register/ HTTP/1.1" 404 2164
WARNING 2021-01-02 22:30:02,166 log 228 Not Found: /mobiles/15700000001/count/
WARNING 2021-01-02 22:30:02,168 basehttp 154 "GET /mobiles/15700000001/count/ HTTP/1.1" 404 2211
INFO 2021-01-02 22:30:02,171 basehttp 154 "GET /usernames/itcast_02/count/ HTTP/1.1" 200 39
WARNING 2021-01-02 22:30:04,481 log 228 Not Found: /mobiles/15700000001/count/
WARNING 2021-01-02 22:30:04,484 log 228 Not Found: /register/
WARNING 2021-01-02 22:30:04,486 basehttp 154 "GET /mobiles/15700000001/count/ HTTP/1.1" 404 2211
INFO 2021-01-02 22:30:04,489 basehttp 154 "GET /usernames/itcast_02/count/ HTTP/1.1" 200 39
WARNING 2021-01-02 22:30:04,489 basehttp 154 "OPTIONS /register/ HTTP/1.1" 404 2164
WARNING 2021-01-02 22:30:04,717 log 228 Not Found: /register/
WARNING 2021-01-02 22:30:04,719 basehttp 154 "OPTIONS /register/ HTTP/1.1" 404 2164
INFO 2021-01-02 22:30:04,720 basehttp 154 "GET /usernames/itcast_02/count/ HTTP/1.1" 200 39
WARNING 2021-01-02 22:30:04,722 log 228 Not Found: /mobiles/15700000001/count/
WARNING 2021-01-02 22:30:04,726 basehttp 154 "GET /mobiles/15700000001/count/ HTTP/1.1" 404 2211
INFO 2021-01-02 22:30:04,844 basehttp 154 "GET /usernames/itcast_02/count/ HTTP/1.1" 200 39
WARNING 2021-01-02 22:30:04,853 log 228 Not Found: /mobiles/15700000001/count/
WARNING 2021-01-02 22:30:04,858 basehttp 154 "GET /mobiles/15700000001/count/ HTTP/1.1" 404 2211
WARNING 2021-01-02 22:30:04,856 log 228 Not Found: /register/
WARNING 2021-01-02 22:30:04,859 basehttp 154 "OPTIONS /register/ HTTP/1.1" 404 2164
INFO 2021-01-02 22:30:34,748 autoreload 217 /home/ubuntu/Desktop/test/day08/MeiDuo_second/meiduo_mail/apps/users/urls.py changed, reloading.
INFO 2021-01-02 22:30:35,640 autoreload 597 Watching for file changes with StatReloader
INFO 2021-01-02 22:30:59,114 autoreload 217 /home/ubuntu/Desktop/test/day08/MeiDuo_second/meiduo_mail/apps/users/urls.py changed, reloading.
INFO 2021-01-02 22:30:59,738 autoreload 597 Watching for file changes with StatReloader
WARNING 2021-01-02 22:31:01,915 log 228 Not Found: /mobiles/15700000001/count/
INFO 2021-01-02 22:31:01,917 basehttp 154 "OPTIONS /register/ HTTP/1.1" 200 0
WARNING 2021-01-02 22:31:01,922 basehttp 154 "GET /mobiles/15700000001/count/ HTTP/1.1" 404 2367
INFO 2021-01-02 22:31:01,922 basehttp 154 "GET /usernames/itcast_02/count/ HTTP/1.1" 200 39
WARNING 2021-01-02 22:31:03,498 log 228 Not Found: /mobiles/15700000001/count/
INFO 2021-01-02 22:31:03,507 basehttp 154 "GET /usernames/itcast_02/count/ HTTP/1.1" 200 39
WARNING 2021-01-02 22:31:03,508 basehttp 154 "GET /mobiles/15700000001/count/ HTTP/1.1" 404 2367
INFO 2021-01-02 22:31:03,509 basehttp 154 "OPTIONS /register/ HTTP/1.1" 200 0
INFO 2021-01-02 22:31:06,503 basehttp 154 "GET /usernames/itcast_02/count/ HTTP/1.1" 200 39
INFO 2021-01-02 22:31:13,772 basehttp 154 "OPTIONS /register/ HTTP/1.1" 200 0
